Date, Open, High, Low, Close
12/11/18, 409.58, 405.46, 405.46, 405.46
12/10/18, 415.41, 409.63, 409.63, 409.63
12/07/18, 423.17, 415.43, 415.43, 415.43
12/06/18, 429.14, 423.23, 423.23, 423.23
12/04/18, 449.18, 429.42, 429.42, 429.42
12/03/18, 447.09, 449.20, 449.20, 449.20
11/30/18, 444.12, 447.08, 447.08, 447.08
11/29/18, 447.72, 444.15, 444.15, 444.15
11/28/18, 439.83, 447.82, 447.82, 447.82
11/27/18, 439.48, 439.83, 439.83, 439.83
11/26/18, 430.50, 439.53, 439.53, 439.53
11/23/18, 434.38, 430.50, 430.50, 430.50
11/21/18, 434.21, 434.47, 434.47, 434.47
11/20/18, 443.39, 434.19, 434.19, 434.19
11/19/18, 443.62, 443.46, 443.46, 443.46
11/16/18, 443.14, 443.61, 443.61, 443.61
11/15/18, 436.85, 443.17, 443.17, 443.17
11/14/18, 443.01, 436.87, 436.87, 436.87
11/13/18, 440.36, 442.96, 442.96, 442.96
11/12/18, 449.32, 440.36, 440.36, 440.36
11/09/18, 453.67, 449.32, 449.32, 449.32
11/08/18, 451.88, 453.69, 453.69, 453.69
11/07/18, 446.27, 452.25, 452.25, 452.25
11/06/18, 444.05, 446.26, 446.26, 446.26
11/05/18, 437.86, 444.04, 444.04, 444.04
11/02/18, 437.67, 437.89, 437.89, 437.89
11/01/18, 435.87, 437.83, 437.83, 437.83
10/31/18, 429.71, 435.85, 435.85, 435.85
10/30/18, 422.87, 429.71, 429.71, 429.71
10/29/18, 419.41, 422.94, 422.94, 422.94
10/26/18, 424.95, 419.35, 419.35, 419.35
10/25/18, 418.34, 425.10, 425.10, 425.10
10/24/18, 429.81, 418.25, 418.25, 418.25
10/23/18, 433.31, 429.82, 429.82, 429.82
10/22/18, 442.55, 433.41, 433.41, 433.41
10/19/18, 440.98, 442.52, 442.52, 442.52
10/18/18, 448.06, 440.99, 440.99, 440.99
10/17/18, 443.72, 447.95, 447.95, 447.95
10/16/18, 436.90, 443.91, 443.91, 443.91
10/15/18, 439.16, 436.93, 436.93, 436.93
10/12/18, 438.75, 439.16, 439.16, 439.16
10/11/18, 451.98, 438.73, 438.73, 438.73
10/10/18, 466.10, 451.98, 451.98, 451.98
10/09/18, 467.74, 466.15, 466.15, 466.15
10/08/18, 465.07, 467.76, 467.76, 467.76
10/05/18, 467.04, 465.07, 465.07, 465.07
10/04/18, 463.30, 467.01, 467.01, 467.01
10/03/18, 460.00, 463.73, 463.73, 463.73
10/02/18, 459.77, 459.98, 459.98, 459.98
10/01/18, 458.22, 459.77, 459.77, 459.77
09/28/18, 463.02, 458.18, 458.18, 458.18
09/27/18, 464.54, 463.09, 463.09, 463.09
09/26/18, 470.67, 464.66, 464.66, 464.66
09/25/18, 472.48, 470.66, 470.66, 470.66
09/24/18, 477.54, 472.47, 472.47, 472.47
09/21/18, 479.29, 477.54, 477.54, 477.54
09/20/18, 475.44, 479.29, 479.29, 479.29
09/19/18, 467.26, 475.47, 475.47, 475.47
09/18/18, 465.34, 467.25, 467.25, 467.25
09/17/18, 466.98, 465.32, 465.32, 465.32
09/14/18, 463.86, 466.98, 466.98, 466.98
09/13/18, 464.55, 463.92, 463.92, 463.92
09/12/18, 468.78, 464.61, 464.61, 464.61
09/11/18, 468.19, 468.80, 468.80, 468.80
09/10/18, 468.64, 468.26, 468.26, 468.26
09/07/18, 469.13, 468.63, 468.63, 468.63
09/06/18, 471.68, 469.17, 469.17, 469.17
09/05/18, 471.81, 471.96, 471.96, 471.96
09/04/18, 469.30, 471.81, 471.81, 471.81
08/31/18, 468.38, 469.32, 469.32, 469.32
08/30/18, 473.37, 469.72, 469.72, 469.72
08/29/18, 473.50, 473.44, 473.44, 473.44
08/28/18, 474.05, 473.55, 473.55, 473.55
08/27/18, 467.77, 474.04, 474.04, 474.04
08/24/18, 466.43, 467.79, 467.79, 467.79
08/23/18, 468.78, 466.41, 466.41, 466.41
08/22/18, 470.04, 468.82, 468.82, 468.82
08/21/18, 468.30, 470.06, 470.06, 470.06
08/20/18, 466.62, 468.32, 468.32, 468.32
08/17/18, 465.68, 466.68, 466.68, 466.68
08/16/18, 459.94, 465.69, 465.69, 465.69
08/15/18, 463.07, 459.95, 459.95, 459.95
08/14/18, 459.14, 463.08, 463.08, 463.08
08/13/18, 463.85, 459.14, 459.14, 459.14
08/10/18, 469.27, 463.85, 463.85, 463.85
08/09/18, 471.61, 469.30, 469.30, 469.30
08/08/18, 470.74, 471.96, 471.96, 471.96
08/07/18, 468.53, 470.75, 470.75, 470.75
08/06/18, 466.49, 468.48, 468.48, 468.48
08/03/18, 463.85, 466.49, 466.49, 466.49
08/02/18, 463.81, 464.02, 464.02, 464.02
08/01/18, 463.84, 463.83, 463.83, 463.83
07/31/18, 467.03, 463.85, 463.85, 463.85
