DBR,AMROBK,BACR-Bank,BNP,BYLAN,CMZB,CSGAG,DB,DZBK,ERGBA,HSBC,HSBC-HSBCBank,INTNED,LBW,NDB,SANPAO,SANTNDR,SEB,SOCGEN,UBS,UCBAG,BACF-BankNA,C,CRDSUI-USAInc,GS,JPM,MWD,RY,MIZUHBA,NOMURA
-0.010952714,-0.003917373,-0.033070593,-0.034144441,-0.009392668,-0.036613034,-0.013949154,-0.036029407,-1.95E-05,-0.051026657,-0.030907516,-0.022198202,-0.078177633,-0.013255036,-0.000724778,-0.0495906,-0.017564941,-0.016247258,-0.025114132,-0.037209722,0.002170729,-0.019106621,-0.022317908,-0.00014289,-0.003928788,-0.000198108,-0.007414087,0.002190873,-0.040921943,-0.008173438
0.002330286,-0.007324821,-0.008643214,0.004945686,-0.003191936,0.002158708,0.009871235,0.003761978,0.000471823,-0.015242885,-0.013662797,-0.005825507,-0.030241696,-0.043751803,0.00017197,-0.070894742,0.00962985,0.007409978,0.017308646,0.000458518,-0.014883622,-0.012077539,-0.001050393,7.01E-05,0.008908632,0.010247116,0.001901408,-0.008474481,-0.010534106,0.015240299
-0.029991442,0.002765315,-0.093107193,-0.028832994,0.008134247,-0.058528228,-0.036757525,-0.083759177,-0.000667916,-0.013450694,-0.01148933,-0.057944876,-0.006699444,0.0143051,0.000808184,-0.06182468,-0.017389324,-0.026968547,-0.053606778,-0.084499788,-0.005519839,0.004748983,-0.021192035,-0.002190084,-0.03349574,-0.024514624,-0.023053418,-0.000375892,-0.042712051,-0.028120177
0.012658728,-0.004774929,0.029970082,0.024387253,-0.028759741,-0.004001571,0.02643785,-0.046130582,0.000492467,-0.029627573,-0.013531647,0.01433919,-0.019841146,-0.005585763,-0.000675869,0.108712489,0.023864331,-0.025197122,0.032509362,0.059741142,-0.00163576,-0.013796219,-0.010507725,-0.000147955,0.01869122,-0.003370017,0.008555309,0.089262029,-0.017944273,-0.007764381
-0.064405002,-0.032237864,0.043814537,0.050949806,0.00449517,0.04945386,0.020127195,0.028218879,-0.000137287,-0.046864168,-0.016471917,0.03929533,-0.060293654,0.002874498,0.000153217,0.040802344,0.024204253,-0.00929747,0.04098,0.047486175,-0.032596473,0.003370902,-0.003896444,-0.004023377,0.0051537,0.024694007,0.006537782,0.002271197,0.013105134,0.035606309
0.007500102,-0.003163398,-0.02508257,-0.005799421,0.017059135,-0.008458512,0.003356054,-0.033559932,-0.000141111,0.008321833,0.027677371,-0.02379249,0.065208508,0.000906201,-0.000375485,-0.018148278,0.005656707,0.013931223,-0.018201645,-3.29E-05,-0.022100093,0.006022873,0.02487824,-0.021611225,0.01350408,0.012104058,0.014448573,-0.001807264,0.020920374,-0.043977094
-0.019979001,0.012792538,-0.004807388,-0.056240926,-0.007666984,-0.036654914,-0.023361979,-0.077921523,-0.027271272,-0.027008545,-0.026162547,-0.01748331,-0.00312008,4.34E-05,0.000454773,-0.038437885,-0.021493029,-0.010604729,-0.043396865,0.006644771,0.019859896,-0.064956085,-0.036995529,-0.012069019,-0.031680444,-0.013749125,-0.034521021,-0.008621111,-0.014182234,0.039553483
0.000722704,0.001912137,-0.004952994,-0.005291738,0.011859482,0.013949638,0.018974603,0.007690711,-0.003233045,-0.001035965,-0.002169329,0.00672754,0.012129403,0.018003295,0.00022672,0.058652042,0.043420239,-0.011056507,0.000575076,0.007648807,0.005005631,-0.011649255,0.006921925,-0.000820016,0.014433129,0.011665295,0.013678098,-0.000895974,-0.000639717,0.005131301
-0.010974189,-0.005066503,-0.032557053,-0.018779943,-0.002977082,-0.009887344,-0.002188123,0.026579758,0.000177285,-0.014644395,-0.008991748,-0.020895838,-0.009693741,-0.002946043,-0.000103307,-0.029802379,0.003902038,-0.012994645,-0.017609288,-0.016913845,0.007922756,-0.018839769,0.01114082,-0.009448996,0.009801835,0.005121825,0.011013834,-0.070545818,0.012276949,-0.025748557
-0.012739034,-0.014563244,-0.03965518,-0.055927078,-0.013876406,-0.067519868,-0.023118414,-0.085961346,0.000802445,-0.001579526,-0.055773306,-0.017816243,-0.047237991,-0.0175775,-0.001116233,-0.056998602,-0.035119258,-0.066942753,-0.051077916,-0.000373223,-0.012926261,-0.027452293,-0.011754807,-0.007971301,-0.002697907,-0.016804617,-0.003903364,0.001693663,-0.033327046,0.007063433
0.017442913,0.00325175,-0.064134018,-0.051626882,-0.009764517,-0.048865926,-0.037170192,-0.045809806,-0.000501422,-0.018828988,-0.00431071,-0.027306145,0.026790734,0.019915599,-0.00017047,-0.068619854,-0.029734002,0.015878843,-0.068803558,-0.073551408,0.010523204,0.009792805,-0.006571715,-0.005598726,-0.014310236,-0.006308408,-0.009870829,-0.001223139,1.50E-05,-0.012060127
-0.045182485,0.000285997,-0.04440926,-0.02483196,-0.038991421,-0.016306356,-0.026929197,-0.041884708,-0.000238489,0.027449761,-0.0248462,-0.043039332,-0.013984361,0.00474742,0.001158702,-0.011814105,-0.009536458,-0.049152098,-0.022813181,-0.020695285,-0.011788411,-0.006176555,0.00664868,-0.00124975,0.00908891,0.009359971,0.004004486,0.000270271,-0.036938823,0.037844841
-0.027127776,-0.021390828,-0.110510443,-0.084213552,-0.035343879,-0.074420351,-0.000687897,-0.071565226,-0.005923026,-0.020632804,-0.047957657,-0.08993888,-0.028516311,0.042568157,-0.000103359,-0.066096165,-0.043251809,-0.077727938,-0.0817541,-0.060544201,-0.029244634,-0.026406075,-0.029249509,-0.000420995,-0.034291291,-0.027117195,-0.036561226,-0.000681344,-0.019789331,-0.043687097
-0.024347517,-0.059559019,-0.064242319,-0.045024545,-0.026454166,-0.039377419,-0.114757401,-0.070367315,1.79E-05,-0.006562812,-0.01795101,-0.050974778,-0.087813188,-0.038245509,2.48E-05,-0.031776916,-0.027328282,0.009363536,-0.02257127,-0.063224526,-0.024369242,-0.020450369,-0.037248126,-0.000216228,-0.029618251,-0.029023566,-0.024356371,0.000607335,-6.03E-05,0.017378063
-0.03448781,-0.002034622,-0.0970944,-0.001563917,-0.048355816,-0.020513219,-0.082133823,-0.015775577,-0.00032067,-0.009459457,-0.028738527,-0.029355763,-0.003788825,0.030012594,0.000370071,0.002984237,0.018119109,-0.012403763,-0.01146854,-0.053071616,0.00686946,-0.038380532,-0.058464051,-0.00043922,-0.0676252,-0.023270213,-0.066171829,-0.014916798,-0.013104347,-0.01275709
