,Date,DBR,AMROBK,BACR-Bank,BNP,BYLAN,CMZB,CSGAG,DB,DZBK,ERGBA,HSBC,HSBC-HSBCBank,INTNED,LBW,NDB,SANPAO,SANTNDR,SEB,SOCGEN,UBS,UCBAG,BACF-BankNA,C,CRDSUI-USAInc,GS,JPM,MWD,RY,MIZUHBA,NOMURA, Open, High, Low,Close
775,2018-12-05,9.3835,35.1822,95.3736,66.1969,39.2882,105.1108,97.0519,219.9812,64.8524,56.4607,91.9322,45.9859,86.1261,43.059,92.408,198.9326,72.1404,43.9708,68.7298,45.1347,60.7794,53.9239,64.6232,66.8906,92.676,55.9689,75.7428,59.4588,61.0754,59.9583,429.14,423.23,423.23,423.23
776,2018-12-06,9.0476,35.1814,93.7734,68.0421,39.288,106.2795,97.1664,216.9429,64.1689,56.4604,92.2262,45.0225,87.8623,43.0513,92.1447,199.6124,73.0562,45.9619,70.5872,46.9344,60.78,55.7686,67.5783,65.33,94.5596,58.7663,79.2654,59.7683,61.963,62.7116,429.14,423.23,423.23,423.23
777,2018-12-07,9.0406,35.8511,95.5049,68.648,39.2878,107.2283,99.1204,216.5146,64.8179,56.46,91.9305,45.2706,88.309,44.3572,107.5583,201.7315,73.3026,45.3628,70.5578,46.7667,60.7782,58.8389,67.2069,64.5269,93.722,58.1669,79.4044,57.55,65.205,62.5804,423.17,415.43,415.43,415.43
778,2018-12-10,9.1555,35.5293,95.1109,69.0883,39.2863,107.6695,99.8061,209.9452,66.1724,56.4592,91.9947,44.4229,87.3538,44.1572,105.8061,199.8794,72.212,44.9608,71.1101,47.7891,60.8221,59.8074,68.0967,64.2391,94.2392,60.3438,80.6266,58.0647,70.7275,62.0465,415.41,409.63,409.63,409.63
779,2018-12-11,9.1549,35.8512,94.3563,69.6443,39.2864,106.7344,100.2105,207.657,66.4733,56.459,89.0181,46.3669,88.2095,44.2819,107.2219,198.6109,71.6587,44.9607,71.3832,47.011,60.781,61.2043,66.0383,63.7533,91.3678,57.2666,78.8073,57.9025,67.178,63.8359,409.58,405.46,405.46,405.46
780,2018-12-12,9.0439,35.5153,93.703,69.1446,39.2862,105.6039,99.4987,196.0525,65.3908,56.4588,87.6254,46.5976,87.1272,44.001,107.2504,191.254,70.05,43.6256,70.1417,46.2643,60.7723,61.5319,69.0885,63.6509,91.0024,56.9716,78.8153,57.864,67.9554,63.7749,405.5,407.26,407.26,407.26
781,2018-12-13,8.8175,35.1787,92.0992,66.3831,38.4543,104.6907,95.9494,183.5617,64.639,56.4674,84.046,45.1699,84.1567,43.9059,103.0813,177.7269,66.0325,42.6019,67.3447,44.7709,60.7671,58.7859,68.9191,63.5431,90.8269,56.8484,78.615,57.1606,67.5238,63.0533,407.18,404.86,404.86,404.86
782,2018-12-14,9.0388,34.8439,91.0628,67.9249,38.4648,107.2773,97.823,185.3396,64.7543,55.8928,86.4413,46.1387,84.4291,43.8761,102.4885,179.9094,68.3347,42.275,69.9587,45.1352,60.7624,57.2001,68.9145,63.5022,91.6161,57.4743,79.0434,56.7713,66.3713,63.603,404.82,400.72,400.72,400.72
783,2018-12-17,9.0775,35.1939,93.0973,69.5323,38.3685,111.1068,98.3508,187.6038,65.7558,55.7837,85.6242,49.1545,87.1594,43.3479,102.5986,180.3989,69.631,41.787,70.6632,45.5895,60.8309,57.5797,71.2092,63.3635,94.939,59.2898,79.9829,56.7511,67.0047,63.1035,400.7,396.81,396.81,396.81
784,2018-12-18,9.1583,35.1788,92.7742,70.4649,38.7045,113.8563,100.1115,190.0006,66.1923,55.5798,86.001,48.7717,90.2467,43.1357,103.777,180.5843,70.3981,40.7926,71.0237,46.2641,60.7646,59.0994,72.1296,63.2043,96.4151,61.611,82.5834,57.6427,67.3611,63.3364,396.8,394.9,394.9,394.9
785,2018-12-19,9.1564,35.1793,92.937,70.0176,38.4603,114.7971,100.8237,189.8058,65.6682,54.5702,85.7648,48.7303,89.0104,43.0873,104.0457,172.5497,69.6208,39.4567,71.1466,45.7694,60.7675,59.7784,72.2515,63.1245,96.5886,61.2089,81.9778,57.8262,67.6027,63.5381,394.9,390.0,390.0,390.0
786,2018-12-20,9.0422,35.1851,91.8044,71.0343,38.1974,117.5469,101.0441,191.464,65.6678,54.9465,85.9321,47.6374,89.4039,43.079,103.2298,171.9831,71.5919,39.4824,71.5254,46.0345,60.774,60.0543,74.9375,63.1161,99.79,62.7534,85.7731,58.6856,68.5445,64.634,389.96,386.97,386.97,386.97
787,2018-12-21,9.4901,35.5268,92.0263,72.5108,38.2044,123.1962,104.3918,199.2915,66.7306,54.9952,88.1445,47.9865,96.5371,43.0881,105.5059,176.1309,74.5935,39.4472,73.7959,45.9366,60.7898,62.4789,78.5037,63.1771,102.176,65.8565,87.8606,59.0718,66.5919,67.1,386.97,379.4,379.4,379.4
